trade_date,px_close
2025-03-27,111.52
2025-03-28,109.71
2025-03-31,108.44
2025-04-01,110.22
2025-04-02,110.44
2025-04-03,101.87
2025-04-04,94.37
2025-04-07,97.71
2025-04-08,96.37
2025-04-09,114.4
2025-04-10,107.58
2025-04-11,111.03
2025-04-14,110.75
2025-04-15,112.2
2025-04-16,104.55
2025-04-17,101.57
2025-04-21,96.93
2025-04-22,98.97
2025-04-23,102.75
2025-04-24,106.53
2025-04-25,111.02
2025-04-28,108.77
2025-04-29,109.09
2025-04-30,108.99
2025-05-01,111.62
2025-05-02,114.53
2025-05-05,113.84
2025-05-06,113.63
2025-05-07,117.07
2025-05-08,117.4
2025-05-09,116.75
2025-05-12,123.02
2025-05-13,130.01
2025-05-14,135.35
2025-05-15,134.91
2025-05-16,135.44
2025-05-19,135.65
2025-05-20,134.43
2025-05-21,131.85
2025-05-22,132.88
2025-05-23,131.32
2025-05-27,135.55
2025-05-28,134.86
2025-05-29,139.23
2025-05-30,135.14
2025-06-02,137.43
2025-06-03,141.3
2025-06-04,141.97
2025-06-05,140.08
2025-06-06,141.8
2025-06-09,142.63
2025-06-10,144.05
2025-06-11,142.92
2025-06-12,145.07
2025-06-13,142.02
2025-06-16,144.69
2025-06-17,144.19
2025-06-18,145.56
2025-06-20,143.86
2025-06-23,144.17
2025-06-24,148
2025-06-25,154.4
2025-06-26,155.08
2025-06-27,157.75
2025-06-30,158.01
2025-07-01,153.37
2025-07-02,157.26
2025-07-03,159.43
2025-07-07,158.3
2025-07-08,160.06
2025-07-09,162.94
2025-07-10,164.16
2025-07-11,164.99
2025-07-14,164.12
2025-07-15,170.72
2025-07-16,171.38
2025-07-17,173.05
2025-07-18,172.48
2025-07-21,171.4
2025-07-22,167.06
2025-07-23,170.84
2025-07-24,173.75
2025-07-25,173.59
2025-07-28,176.83
2025-07-29,175.61
2025-07-30,179.35
2025-07-31,177.96
2025-08-01,173.81
2025-08-04,180.07
2025-08-05,178.3
2025-08-06,179.43
2025-08-07,180.83
2025-08-08,182.71
2025-08-11,182.08
2025-08-12,183.23
2025-08-13,181.67
2025-08-14,182.12
2025-08-15,180.53
2025-08-18,182.06
2025-08-19,175.71
2025-08-20,175.44
2025-08-21,175.01
2025-08-22,178.04
2025-08-25,179.87
2025-08-26,181.85
2025-08-27,181.69
2025-08-28,180.25
2025-08-29,174.18
2025-09-02,170.84
2025-09-03,170.65
2025-09-04,171.73
2025-09-05,167.02
2025-09-08,168.32
2025-09-09,170.82
2025-09-10,177.36
2025-09-11,177.26
2025-09-12,177.92
2025-09-15,177.84
2025-09-16,174.96
2025-09-17,170.38
2025-09-18,176.34
2025-09-19,176.77
2025-09-22,183.67
2025-09-23,178.47
2025-09-24,177.06
2025-09-25,177.71
2025-09-26,178.23
2025-09-29,181.9
2025-09-30,186.61
2025-10-01,187.25
2025-10-02,188.97
2025-10-03,187.62
2025-10-06,185.6
2025-10-07,185.14
2025-10-08,189.16
2025-10-09,192.65
2025-10-10,183.17
2025-10-13,188.39
2025-10-14,180.03
2025-10-15,179.87
2025-10-16,181.83
2025-10-17,183.23
2025-10-20,182.73
2025-10-21,181.23
2025-10-22,180.32
2025-10-23,182.24
2025-10-24,186.33
2025-10-27,191.5
2025-10-28,201.12
2025-10-29,207.08
2025-10-30,202.91
2025-10-31,202.51
2025-11-03,206.9
2025-11-04,198.7
2025-11-05,195.27
2025-11-06,188.11
2025-11-07,188.18
2025-11-10,199.06
2025-11-11,193.22
2025-11-12,193.83
2025-11-13,186.94
2025-11-14,190.18
2025-11-17,186.7
2025-11-18,181.37
2025-11-19,186.61
2025-11-20,180.73
2025-11-21,178.93
2025-11-24,182.59
2025-11-25,177.82
2025-11-26,180.3
2025-11-28,177.01
2025-12-01,179.96
2025-12-02,181.47
2025-12-03,179.68
2025-12-04,183.45
2025-12-05,182.49
2025-12-08,185.63
2025-12-09,185.01
2025-12-10,183.85
2025-12-11,180.96
2025-12-12,175.04
2025-12-15,176.38
2025-12-16,177.8
2025-12-17,170.99
2025-12-18,174.14
2025-12-19,181.08
2025-12-22,183.71
2025-12-23,189.29
2025-12-24,188.63
2025-12-26,190.58
2025-12-29,188.3
2025-12-30,187.59
2025-12-31,186.57
2026-01-02,188.88
2026-01-05,188.19
2026-01-06,187.26
2026-01-07,189.12
2026-01-08,185.14
2026-01-09,184.87
2026-01-12,184.98
2026-01-13,185.84
2026-01-14,183.22
2026-01-15,187.11
2026-01-16,186.31
2026-01-20,178.14
2026-01-21,183.33
2026-01-22,184.85
2026-01-23,187.76
2026-01-26,186.47
2026-01-27,188.55
2026-01-28,191.56
2026-01-29,192.52
2026-01-30,191.22
2026-02-02,185.63
2026-02-03,180.41
2026-02-04,174.24
2026-02-05,171.93
2026-02-06,185.48
2026-02-09,190.1
2026-02-10,188.62
2026-02-11,190.12
2026-02-12,186.99
2026-02-13,182.85
2026-02-17,185.06
2026-02-18,188.04
2026-02-19,187.96
2026-02-20,189.85
2026-02-23,191.62
2026-02-24,192.88
2026-02-25,195.59
2026-02-26,184.98
2026-02-27,177.24
2026-03-02,182.53
2026-03-03,180.09
2026-03-04,183.13
2026-03-05,183.37
2026-03-06,177.91
2026-03-09,182.67
2026-03-10,184.8
2026-03-11,186.05
2026-03-12,183.23
2026-03-13,180.27
2026-03-16,183.24
2026-03-17,181.99
2026-03-18,180.46
2026-03-19,178.61
2026-03-20,172.76
2026-03-23,175.67
2026-03-24,175.25
2026-03-25,178.69
2026-03-26,171.29
2026-03-27,167.62
